iter	Passed	Remaining
0	59	59562
1	60	30089
2	61	20280
3	62	15443
4	62	12530
5	63	10555
6	64	9195
7	65	8151
8	66	7322
9	67	6659
10	68	6130
11	69	5684
12	69	5310
13	70	4986
14	71	4695
15	72	4437
16	72	4212
17	73	4012
18	74	3840
19	75	3681
20	75	3536
21	76	3407
22	78	3321
23	79	3219
24	80	3127
25	81	3050
26	82	2966
27	83	2885
28	83	2810
29	84	2736
30	85	2669
31	86	2607
32	87	2551
33	87	2493
34	88	2441
35	89	2387
36	89	2341
37	90	2298
38	91	2258
39	92	2216
40	92	2175
41	93	2135
42	94	2100
43	95	2065
44	95	2033
45	96	2001
46	97	1971
47	97	1940
48	98	1913
49	99	1889
50	100	1862
51	100	1837
52	101	1815
53	102	1797
54	103	1773
55	103	1751
56	104	1729
57	105	1708
58	105	1685
59	106	1664
60	106	1644
61	107	1625
62	108	1607
63	108	1589
64	109	1575
65	110	1564
66	111	1548
67	111	1528
68	112	1513
69	112	1501
70	113	1487
71	114	1474
72	115	1461
73	115	1448
74	116	1440
75	117	1429
76	118	1419
77	119	1410
78	119	1398
79	120	1386
80	121	1374
81	121	1363
82	122	1353
83	123	1341
84	123	1328
85	123	1317
86	124	1304
87	125	1298
88	125	1288
89	126	1279
90	127	1271
91	127	1262
92	128	1255
93	129	1247
94	130	1240
95	130	1232
96	131	1224
97	132	1215
98	132	1208
99	133	1202
100	134	1196
101	134	1186
102	135	1180
103	136	1172
104	136	1164
105	137	1161
106	138	1155
107	139	1148
108	140	1146
109	140	1140
110	142	1138
111	142	1131
112	143	1124
113	144	1119
114	144	1114
115	145	1107
116	145	1101
117	146	1095
118	147	1089
119	147	1084
120	148	1080
121	149	1075
122	149	1068
123	150	1063
124	151	1059
125	152	1054
126	152	1050
127	153	1044
128	154	1039
129	154	1035
130	155	1032
131	156	1027
132	156	1022
133	157	1017
134	158	1013
135	158	1009
136	159	1004
137	159	998
138	160	994
139	161	989
140	161	985
141	162	980
142	162	976
143	163	972
144	164	968
145	164	964
146	165	959
147	166	955
148	166	951
149	167	947
150	167	943
151	168	939
152	169	935
153	169	932
154	170	928
155	171	925
156	171	922
157	172	918
158	173	915
159	173	911
160	174	908
161	174	904
162	175	901
163	176	900
164	177	897
165	178	894
166	178	891
167	179	887
168	179	884
169	180	882
170	181	878
171	182	876
172	182	873
173	183	870
174	183	867
175	184	863
176	185	862
177	186	860
178	187	858
179	187	855
180	188	851
181	189	850
182	189	847
183	190	845
184	191	842
185	192	840
186	192	837
187	193	834
188	193	832
189	194	829
190	195	826
191	195	824
192	196	822
193	197	820
194	198	817
195	198	815
196	199	812
197	200	811
198	201	809
199	201	806
200	202	805
201	203	803
202	203	800
203	204	798
204	205	796
205	205	793
206	206	791
207	207	789
208	208	787
209	208	785
210	209	783
211	210	780
212	210	778
213	211	776
214	212	774
215	212	772
216	213	770
217	214	768
218	214	766
219	215	764
220	216	762
221	217	760
222	217	758
223	218	756
224	218	754
225	219	751
226	220	749
227	220	747
228	221	746
229	222	744
230	222	742
231	223	740
232	224	738
233	225	736
234	225	734
235	226	732
236	227	731
237	227	729
238	228	727
239	229	725
240	229	723
241	230	722
242	231	720
243	231	718
244	232	716
245	233	714
246	233	713
247	234	711
248	235	709
249	235	707
250	236	705
251	236	703
252	237	701
253	238	699
254	238	697
255	239	695
256	239	693
257	240	691
